27,42,31,2
28,241,147,1
26,85,71,2
27,218,148,1
24,137,59,1
26,339,239,2
28,91,81,2
22,147,126,1
23,209,127,1
23,172,38,1
22,112,72,1
26,356,121,1
21,107,44,1
29,119,62,2
27,315,207,1
27,84,81,2
27,61,48,2
25,56,42,2
28,342,233,1
29,372,176,1
24,141,72,1
20,122,52,1
27,97,66,1
20,341,62,1
27,250,171,1
25,351,316,2
23,98,36,1
23,262,222,1
27,30,30,2
26,180,131,1
25,44,36,2
27,309,125,1
20,109,52,1
23,334,82,1
22,72,51,1
27,246,204,1
29,256,221,1
28,330,235,2
27,285,218,1
22,357,47,1
21,237,117,1
20,55,42,2
24,335,239,2
23,291,239,1
21,129,43,1
22,101,101,2
24,339,93,2
29,267,52,2
29,134,69,1
23,71,53,2
21,104,87,2
21,60,30,1
27,369,292,1
29,325,278,2
21,140,132,2
29,214,101,1
23,165,60,1
24,113,86,1
20,345,244,1
27,212,159,1
21,312,106,1
25,272,47,2
28,124,71,2
21,191,53,2
26,223,161,1
24,162,108,1
26,47,32,1
23,191,93,1
28,166,65,1
28,245,199,1
20,216,67,2
29,269,112,1
23,152,146,1
23,335,75,1
28,198,75,1
27,324,324,2
22,264,75,1
27,126,122,2
29,364,195,1
27,86,37,1
28,52,48,2
22,115,34,1
24,182,78,1
27,49,42,2
22,214,71,1
27,97,84,2
29,47,36,1
29,363,208,1
21,276,194,1
23,138,103,1
25,224,205,1
20,163,163,1
22,37,32,2
22,99,95,2
28,312,203,1
24,176,65,1
29,201,106,1
25,326,41,1
22,123,64,2
21,241,211,1
26,41,36,2
28,228,214,2
23,42,30,2
20,243,58,1
21,181,170,2
23,301,251,2
29,66,57,2
21,93,48,1
26,41,34,1
25,108,38,1
27,145,59,1
29,318,287,1
27,372,292,1
20,244,218,1
23,122,120,2
26,102,79,2
24,279,52,1
22,40,37,2
26,40,39,2
29,74,43,1
27,204,200,2
25,200,32,1
29,200,139,1
28,69,34,1
20,68,63,2
24,134,61,2
22,154,140,2
22,230,84,2
26,140,82,1
27,154,132,1
22,61,46,2
22,297,109,1
27,330,224,2
20,357,328,1
29,300,34,1
22,130,41,1
28,361,92,2
26,213,116,1
28,368,308,1
27,190,171,2
22,335,60,1
27,79,73,2
23,132,56,1
27,158,107,1
29,341,200,2
26,48,39,2
27,66,66,2
25,258,126,1
25,328,322,2
27,252,215,1
29,154,96,1
29,346,316,2
29,214,204,1
21,190,165,2
23,252,130,1
20,353,283,1
29,284,270,2
23,82,70,2
21,317,213,1
23,84,36,1
25,205,60,1
28,190,154,1
21,48,35,1
22,97,93,2
25,337,192,1
27,58,45,2
27,341,339,2
26,240,47,1
23,97,77,2
23,34,30,1
21,313,46,1
25,105,80,1
25,90,31,2
20,81,72,2
28,136,47,1
28,275,124,1
25,256,202,1
21,344,214,1
23,214,37,1
24,93,42,1
20,154,139,1
24,224,223,2
24,169,77,1
27,334,130,1
29,316,223,2
27,165,146,2
20,307,195,1
20,205,123,1
26,103,48,1
23,171,153,2
29,369,221,1
27,243,109,2
25,100,30,1
21,167,136,1
22,152,130,1
29,154,61,2
21,61,61,1
27,220,210,2
22,276,239,1
20,142,39,1
22,298,197,1
27,70,52,2
27,365,130,1
23,156,145,2
25,343,253,1
29,348,341,2
25,176,31,1
29,310,75,1
27,104,38,2
23,250,94,1
25,95,92,2
29,124,106,1
25,39,30,2
28,340,172,1
29,369,109,2
29,139,85,2
23,198,194,2
20,331,85,2
29,211,34,1
29,179,137,1
22,33,32,2
29,269,103,1
20,59,35,1
23,367,195,1
25,140,109,2
25,360,334,1
29,182,54,2
27,43,37,2
27,337,286,1
21,95,81,2
21,345,190,1
25,354,35,1
29,253,92,1
26,158,30,1
23,260,54,2
22,176,43,1
36,178,144,1
33,334,331,2
30,290,239,1
37,237,94,1
38,370,187,1
32,123,31,1
35,402,278,2
32,313,279,1
36,425,195,1
38,511,419,1
39,382,153,1
38,291,141,2
37,343,289,1
35,533,102,1
37,71,38,1
39,349,107,1
31,511,423,2
31,397,316,1
36,60,42,2
34,275,82,1
32,124,90,1
35,150,30,1
37,556,173,1
36,235,57,2
32,254,140,1
32,304,207,1
39,65,49,2
34,272,138,1
35,321,300,2
39,452,355,1
35,235,59,1
36,282,97,2
37,376,101,2
39,54,48,2
39,229,157,1
31,330,112,2
32,465,273,1
33,518,445,1
32,543,156,1
35,385,362,1
30,387,45,1
36,445,353,1
35,252,195,1
30,108,98,2
33,69,43,1
34,297,142,1
39,299,154,1
34,374,243,1
32,256,63,1
31,232,228,2
32,181,177,2
34,68,58,2
38,515,270,1
35,465,267,2
37,150,69,2
31,259,152,1
36,275,151,1
30,201,69,1
35,54,31,1
35,366,115,1
30,435,110,2
34,295,36,1
33,222,138,1
38,381,344,1
36,413,388,1
38,198,179,1
38,370,221,1
33,73,45,1
37,127,75,1
37,299,38,1
37,428,245,1
35,41,41,2
33,252,69,1
37,87,31,1
36,151,128,1
37,136,133,2
31,341,60,1
32,209,109,2
37,273,227,1
34,251,78,1
39,410,175,1
33,126,77,1
32,251,114,1
30,66,44,1
34,539,272,1
32,341,277,1
32,423,403,2
33,546,469,2
38,120,112,2
38,538,111,1
34,47,36,1
31,298,102,1
37,548,260,1
34,324,241,1
37,397,309,1
38,204,188,1
33,366,259,1
32,321,130,1
32,57,38,2
38,147,64,1
35,157,40,1
37,248,125,1
39,529,267,2
38,281,240,1
39,540,268,1
39,262,67,2
37,518,211,1
34,59,34,1
38,204,45,1
36,485,102,1
39,526,478,1
32,59,43,2
39,291,75,1
37,461,372,1
38,430,44,1
30,186,108,1
31,320,130,2
30,483,374,1
35,370,115,1
30,416,296,1
36,547,203,1
34,46,34,1
37,475,281,1
33,131,113,2
36,277,102,2
31,106,92,2
39,254,151,2
31,421,125,1
30,187,88,2
38,410,340,1
34,275,103,2
37,280,98,1
39,572,72,1
