21,91,1
22,265,1
23,208,1
22,114,1
27,66,1
26,150,1
28,42,1
27,363,2
26,194,1
28,281,2
26,105,1
24,126,1
21,73,1
23,198,1
21,81,1
21,32,1
26,12,1
29,187,1
22,194,1
25,342,2
25,3,1
28,345,2
22,152,1
25,337,2
25,203,1
28,244,1
28,198,1
22,304,4
28,38,1
20,329,2
20,14,1
29,302,2
23,350,4
27,376,2
22,109,1
27,271,2
23,319,2
25,98,1
23,105,1
25,172,2
20,397,4
21,270,1
28,119,1
25,358,2
24,210,1
20,139,1
27,352,2
20,182,2
25,252,1
26,175,1
25,398,2
20,163,1
25,125,1
25,340,2
29,225,1
24,117,1
26,274,1
29,69,2
22,5,1
28,327,2
29,145,1
22,210,1
22,243,1
21,24,1
24,348,2
26,260,3
26,243,1
28,162,1
22,119,1
20,7,1
23,119,1
28,112,1
25,385,2
29,90,1
23,78,1
23,393,2
24,337,2
22,32,1
23,120,4
29,80,2
25,1,1
21,249,1
28,54,1
20,110,1
20,241,1
25,157,1
24,329,2
29,105,1
27,339,1
26,124,1
29,263,1
27,107,1
27,314,4
21,250,1
26,101,1
21,307,2
25,175,1
26,277,1
28,83,1
27,156,3
25,181,1
29,224,1
27,269,1
24,257,1
24,291,2
24,169,1
27,160,1
20,240,2
24,258,1
28,132,1
24,347,2
26,55,1
27,162,2
24,123,2
21,316,2
25,134,1
20,42,1
24,172,1
28,310,2
29,226,2
21,0,1
24,362,2
21,23,1
28,24,1
25,87,1
22,345,1
20,197,2
26,387,2
22,317,2
28,329,2
22,324,2
25,309,2
27,323,2
24,378,2
23,339,2
28,382,2
25,294,3
28,106,1
24,305,1
23,154,1
21,337,2
20,72,1
28,385,2
21,140,1
23,148,1
26,140,1
26,211,1
23,248,1
28,126,1
23,71,1
29,290,1
22,206,1
29,391,2
23,275,1
25,89,1
23,180,2
26,219,1
24,295,2
25,110,1
29,385,2
28,222,2
25,392,2
20,62,1
21,217,1
25,245,1
26,29,2
24,11,1
23,191,1
22,166,1
28,99,1
26,38,1
23,52,1
27,111,1
27,251,3
28,140,1
25,141,1
21,223,3
24,61,1
27,391,2
25,308,2
20,70,1
27,0,1
25,168,1
27,157,1
26,196,1
23,392,2
26,218,1
25,183,1
25,141,1
25,291,2
26,101,1
26,251,1
29,137,1
28,137,1
20,170,1
23,96,1
29,54,2
26,187,1
29,178,1
26,147,1
21,377,2
25,167,1
24,130,1
28,70,1
25,389,2
21,347,2
22,350,2
29,124,1
28,395,2
33,233,3
34,311,2
32,322,2
39,9,1
33,159,1
36,138,1
33,171,1
37,156,1
35,21,1
34,255,3
39,210,1
37,359,2
39,274,2
33,562,2
30,182,1
37,609,2
32,354,2
34,127,4
30,131,4
34,456,2
32,213,1
30,593,2
33,352,2
37,18,1
31,459,2
32,236,1
31,509,2
31,137,1
38,390,2
35,422,1
31,526,4
38,572,2
35,176,1
33,151,1
33,234,1
36,95,1
35,138,1
32,5,1
31,231,1
39,222,1
39,519,2
30,619,2
33,22,1
32,385,1
39,410,1
32,599,2
31,197,1
34,215,1
36,213,3
30,63,1
35,146,1
32,200,4
38,43,1
31,73,1
30,40,1
35,160,1
30,521,2
36,320,2
30,288,4
31,455,2
31,308,2
38,488,3
35,563,4
30,93,1
34,148,1
36,349,2
38,554,2
37,154,1
35,350,2
35,621,2
39,164,1
38,73,1
39,586,2
30,609,2
33,231,1
36,112,1
39,197,1
35,310,2
34,156,1
35,346,2
31,276,2
36,400,4
35,28,1
36,9,3
38,463,4
36,543,2
33,433,2
30,121,1
31,200,1
34,257,1
30,190,1
30,396,2
36,604,4
33,458,1
31,308,2
38,33,3
35,259,1
39,435,2
32,389,2
35,178,1
32,118,1
37,181,1
37,493,4
37,354,2
34,280,2
30,57,1
32,589,1
36,107,1
35,613,4
30,569,2
32,343,2
34,406,4
33,484,2
30,404,2
38,468,2
32,247,1
39,469,2
33,44,1
32,352,2
37,228,1
34,58,1
38,288,4
38,524,2
31,232,3
38,12,1
33,28,4
30,445,2
34,144,3
35,370,2
36,304,2
39,316,2
30,188,1
32,345,2
30,236,1
37,484,3
37,358,2
32,574,2
38,503,2
37,534,2
38,77,3
37,380,4
30,163,2
38,149,1
31,139,1
30,82,1
37,509,2
32,589,2
33,59,1
37,283,4
35,65,1
39,316,2
32,76,1
33,136,1
34,212,1
36,123,1
34,85,1
31,454,1
36,553,2
32,498,2
32,165,1
33,539,2
38,37,1
38,418,2
37,326,2
33,36,1
38,67,1
37,565,2
39,255,1
36,312,2
38,9,1
37,529,1
31,204,1
34,158,1
33,517,1
32,302,2
31,530,2
35,211,1
39,89,1
30,363,2
36,316,2
30,549,2
32,272,2
35,302,2
35,233,1
35,407,2
36,375,2
39,186,1
38,199,1
35,614,2
34,498,2
33,345,2
30,89,1
35,398,2
33,530,2
36,463,2
32,587,2
36,401,2
36,351,2
31,87,1
38,23,1
32,506,1
32,309,1
33,451,2
38,166,1
33,226,2
35,433,2
36,95,1
38,580,2
38,244,1
35,40,1
37,69,1
39,134,1
39,10,1
30,27,2
31,464,2
35,179,1
30,597,3
30,416,2
36,612,2
33,579,2
39,312,4
32,430,2
36,126,1
37,164,1
35,47,3
31,362,2
37,262,2
30,548,2
31,217,1
36,474,2
38,274,1
33,341,2
36,578,2
36,377,2
31,132,2
38,386,2
30,390,2
33,107,4
36,162,1
37,352,2
37,22,1
36,377,2
38,118,1
37,357,2
39,420,2
39,441,2
36,596,2
38,450,4
37,4,1
30,340,2
39,270,1
38,190,1
39,57,1
32,526,2
39,161,3
34,442,2
39,315,2
38,177,1
34,200,1
32,354,2
35,106,2
38,593,1
33,114,1
39,535,2
33,416,4
31,533,2
35,160,1
38,426,2
39,522,2
39,142,2
30,149,2
31,607,2
31,208,1
35,228,1
37,337,2
34,253,1
38,23,1
37,624,2
36,310,2
33,143,1
36,355,2
31,248,1
36,574,2
37,260,1
31,331,1
36,390,2
39,407,2
34,74,1
33,449,2
32,268,2
39,261,4
35,448,2
30,313,2
32,113,3
35,381,1
35,273,1
31,16,1
35,216,1
34,540,2
